title,author,googleid,goodreads_id,start date,end date,read status,rating,pages,thumbnail_url
Heart of Darkness,Joseph Conrad,2c_lltYHOywC,4900,2020/06/30,,read,5,188.0,http://books.google.com/books/content?id=2c_lltYHOywC&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE72d19gKcLASrfPT7MirpM2tJ8fk8-mdY3s34h5UhVvgJJiLIRDD97MLgw08ErpXRJ8E1Rj1NHTK1SAQHC6IDI3N2b2w2i-H4ljgVU1gAcf9f_eoXx8vxp5Q_9O9W6EgD_qoxXXj&source=gbs_api
"The Molecule of More: How a Single Chemical in Your Brain Drives Love, Sex, and Creativity—and Will Determine the Fate of the Human Race",Daniel Z. Lieberman,ngFCDwAAQBAJ,38728977,2022/08/24,2023/04/29,read,4,240.0,http://books.google.com/books/publisher/content?id=ngFCDwAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE71VkuuU8L3Xeas6Dm32xcNKGlVOV-SUCZ5IQJQ8v2k9-HB0IQM38VX8xbQdcVs-GjIxK7cCUC6s26pxZs5Wlq9yPCrbw1VlmUzB6nw_RO4YIjf-Ro48npkL_luzZsWZ0lfKWYTi&source=gbs_api
The Sound and the Fury,William Faulkner,p7UrAQAAIAAJ,10975,2020/06/30,,read,5,366.0,http://books.google.com/books/content?id=p7UrAQAAIAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70ok1DVoOSlN--a-RQRDH_unzwj-hu1c79N6mXl0OP04629NdCCStdbz6cfUofkP9Sjg7cxWc86-MGDHr7AqCxl2vV2tOvYzUuHuC5LydiuqHfh92tej3YMV7nKwWC_U6poiqrE&source=gbs_api
East of Eden,John Steinbeck,alaX84xlzogC,4406,2022/01/04,2022/01/16,read,5,601.0,http://books.google.com/books/content?id=alaX84xlzogC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE71wMpfpkAz3Wgu2vn50mdmJ_2j4G2YiaoediP5c84MYsJq7hjUjUWysKfPr3paZxPEkGQXwkRVhdZ0ehgg_Bd1AnEsBW26QH9jTLBT8Hj15ohzE43qZcFzZjQJc6AYw67uY4k1w&source=gbs_api
The Narrow Road to the Deep North,Richard Flanagan,3be5BwAAQBAJ,17905709,2022/01/05,2022/03/28,read,4,467.0,http://books.google.com/books/publisher/content?id=3be5BwAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE71W04VIesMCRw4pZvD8Kx5P1huRR90r2QdifrVgIijQ1XYHMX9SHY8C8Kf2lawXLjJLBZjgvC_OKEEM0EFXEzUFsVV6y170MC0QHQmKwhjaipFwDX-KfUj1k5OwcQoVUA3UNwBT&source=gbs_api
Cancer Ward,Aleksandr Solzhenitsyn,E3EzrwGivL4C,254316,2022/05/04,2023/04/23,read,5,576.0,http://books.google.com/books/content?id=E3EzrwGivL4C&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE71prbBMPoMzP3cgGt91yZZWx7loQnVpUwA7_7Lk01_MTE0CCSogNYCsHxqe5g_RLjlOPmGwQxt5LEoizj3rXrzHGjRh2mz1uwd0XqXRXdemgBD-j7MdVLBZMmdvqj8_z7_MGffX&source=gbs_api
In Cold Blood,Truman Capote,NGJubhmwqfoC,168642,2022/01/05,2022/02/07,read,4,343.0,http://books.google.com/books/content?id=NGJubhmwqfoC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE73cvlrjnvzppxYgFw3sFXOjqZmL_OooPvxpnMfP4oMabJ2CaFNXYh6TDoxlxThmwqLXwj4CGlcysn4aswrKvrAh5dvhZVflEGl2ZbhF7_WITR1pFRgTN2VeUxhIaxrGAF58yW8A&source=gbs_api
Lord Jim,Joseph Conrad,23H0nIJtLEkC,12194,2022/03/12,2022/04/06,read,4,455.0,http://books.google.com/books/content?id=23H0nIJtLEkC&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE70FbqyOK6BBLe_vSrIv-EMcB01OxDZHFVgcaHrpYtS58M_UR7hSGsxa8zcTbaeoW3OHkfvS74HNoT0iTMyMk32u9TKGhsVzC_wol9IJ0kbHv9PVKLSGXbP0LeRZJ3aeRcWTnBUX&source=gbs_api
Digital Minimalism: Choosing a Focused Life in a Noisy World,Cal Newport,S4NbDwAAQBAJ,40672036,2023/04/02,2023/04/13,read,4,302.0,http://books.google.com/books/publisher/content?id=S4NbDwAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE71XSrkFnRxCN7CWYYLNX4E7XvjkJmOx5OMFkf5WSGcJ1qAX6GHHNd8fujQ6RixdFqfuYGX4ZYAsOc20oyew4iSe1_SKCul1JTzsGlP_5JdVDEi39cM7Amss5vW5kB5YR5G5qhbU&source=gbs_api
Japan Story,Christopher    Harding,VVlPDwAAQBAJ,38470226,2022/03/09,2022/04/06,read,4,528.0,http://books.google.com/books/publisher/content?id=VVlPDwAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70uEs3_raCrtvSue9vluSSMrqW893rthHPMiFMKLdWbFFAjbin_5JbOpp_3ra8rj1vY6636LfrNQHYS2cao1WwSnv9mAYkjwOOAVM4FgvmmdbrygdxZyAyz8CwkhBZ34aFCRxa5&source=gbs_api
