Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
555926,The New Penguin History of The World,J.M. Roberts,"Roberts, J.M.",,"=""0141007230""","=""9780141007236""",5,4.07,Penguin Books,Paperback,1232,2004,1976,,2022/01/04,,,read,,,,1,0
1842,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"Diamond, Jared",,"=""0739467352""","=""9780739467350""",3,4.04,W.W. Norton & Company,Paperback,498,2005,1997,,2020/06/30,,,read,,,,1,0
5872,"Regeneration (Regeneration, #1)",Pat Barker,"Barker, Pat",,"=""0140236236""","=""9780140236231""",4,4.02,Penguin Books Ltd,Paperback,256,2011,1991,,2022/01/04,,,read,,,,1,0
55428,Goodbye to All That,Robert Graves,"Graves, Robert",Raleigh Trevelyan,"=""""","=""""",4,3.92,Penguin Modern Classics,Paperback,281,2000,1929,2022/01/04,2020/06/30,,,read,,,,1,0
48328,Revolutionary Road,Richard Yates,"Yates, Richard",,"=""""","=""""",5,3.92,Methuen,Paperback,355,2001,1961,,2021/08/11,,,read,,,,1,0
2165,The Old Man and the Sea,Ernest Hemingway,"Hemingway, Ernest",,"=""0684830493""","=""9780684830490""",3,3.80,Scribner,Hardcover,96,1996,1952,,2021/08/11,,,read,,,,1,0
39330937,The Laws of Human Nature,Robert Greene,"Greene, Robert",,"=""0698184548""","=""9780698184541""",3,4.37,Penguin Books,Kindle Edition,624,2018,2018,2021/08/01,2021/05/03,,,read,,,,1,0
34466963,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,"Walker, Matthew",,"=""""","=""""",5,4.38,Scribner,Hardcover,368,2017,2017,,2021/08/01,,,read,,,,1,0
4679429,"Who Are You Discovering Your Real Identity (Who Are You? Series, Pt. 1)",Chris  Butler,"Butler, Chris",,"=""0912093005""","=""9780912093000""",3,4.20,Identity Inst,Hardcover,473,1984,,,2021/04/06,,,read,,,,1,0
17698,The Cossacks,Leo Tolstoy,"Tolstoy, Leo","Cynthia Ozick, Peter Constantine","=""0812975049""","=""9780812975048""",4,3.80,Modern Library,Paperback,161,2006,1863,,2021/04/06,,,read,,,,1,0
890,Of Mice and Men,John Steinbeck,"Steinbeck, John",,"=""0142000671""","=""9780142000670""",4,3.88,Penguin Books,Paperback,107,2002,1937,,2021/02/10,,,read,,,,1,0
412732,The Dharma Bums,Jack Kerouac,"Kerouac, Jack",,"=""""","=""""",5,3.93,Penguin Books,Paperback,244,1986,1958,,2021/03/30,,,read,,,,1,0
70401,On the Road,Jack Kerouac,"Kerouac, Jack",,"=""0140042598""","=""9780140042597""",5,3.61,Penguin Books,Paperback,307,1976,1957,,2021/03/30,,,read,,,,1,0
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",5,4.18,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,2020/06/30,,,read,,,,1,0
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",3,4.26,Ace,Hardcover,658,2019,1965,,2021/02/10,,,read,,,,1,0
35031085,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",Charlotte Gordon,"=""""","=""""",3,3.86,Penguin Classics,Paperback,260,2018,1818,,2020/06/30,,,read,,,,1,0
22891629,The Motivation Manifesto: 9 Declarations to Claim Your Personal Power,Brendon Burchard,"Burchard, Brendon",,"=""1401948073""","=""9781401948078""",4,4.00,Hay House Inc.,Hardcover,236,2014,2014,,2021/02/10,,,read,,,,1,0
629,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,"Pirsig, Robert M.",,"=""0060589469""","=""9780060589462""",4,3.78,HarperTorch,Mass Market Paperback,540,2006,1974,,2021/02/10,,,read,,,,1,0
2214668,Waiting For The Man: Story of Drugs and Popular Music,Harry Shapiro,"Shapiro, Harry",,"=""1900924080""","=""9781900924085""",5,4.03,Helter Skelter Publishing,Paperback,256,2001,,,2021/02/10,,,read,,,,1,0
24248053,The Utopia Experiment,Dylan Evans,"Evans, Dylan",,"=""1447261291""","=""9781447261292""",5,3.42,Picador ,Hardcover,275,2015,2015,,2021/02/10,,,read,,,,1,0
393199,Down and Out in Paris and London,George Orwell,"Orwell, George",,"=""015626224X""","=""9780156262248""",5,4.09,Mariner Books,Paperback,213,1972,1933,,2021/02/10,,,read,,,,1,0
2956,The Adventures of Huckleberry Finn,Mark Twain,"Twain, Mark","Guy Cardwell, E.W. Kemble, John Seelye, Walter Trier, Tom Wilson, William Little Hughes","=""0142437174""","=""9780142437179""",3,3.83,Penguin Classics,Paperback,327,2002,1884,,2020/06/30,,,read,,,,1,0
43699540,On Identity,Stan Grant,"Grant, Stan",,"=""0522875521""","=""9780522875522""",4,4.05,Melbourne University Publishing,Paperback,95,2019,2019,,2021/02/10,,,read,,,,1,0
12576334,Religion for Atheists: A Non-Believer's Guide to the Uses of Religion,Alain de Botton,"Botton, Alain de",,"=""0241144779""","=""9780241144770""",4,3.66,Hamish Hamilton,Hardcover,320,2012,2011,,2021/02/10,,,read,,,,1,0
23419,The Consolations of Philosophy,Alain de Botton,"Botton, Alain de",,"=""""","=""""",5,4.01,Vintage,Paperback,265,2001,2000,,2021/02/10,,,read,,,,1,0
706525,The Myth of Mental Illness: Foundations of a Theory of Personal Conduct,Thomas Szasz,"Szasz, Thomas",,"=""0060911514""","=""9780060911515""",3,3.78,Harper,Paperback,320,1984,1961,,2021/02/10,,,read,,,,1,0
62801,Thirst for Love,Yukio Mishima,"Mishima, Yukio",,"=""0375705074""","=""9780375705076""",2,3.64,Random House Vintage International,Paperback,200,1999,1950,,2021/02/10,,,read,,,,1,0
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",3,4.02,Vintage International,Paperback,159,1989,1942,,2020/06/30,,,read,,,,1,0
51985,Existentialism is a Humanism,Jean-Paul Sartre,"Sartre, Jean-Paul","Arlette Elkaïm-Sartre, Annie Cohen-Solal, Carol Macomber","=""0300115466""","=""9780300115468""",4,3.98,Yale University Press,Paperback,122,2007,1945,,2021/02/10,,,read,,,,1,0
298275,Nausea,Jean-Paul Sartre,"Sartre, Jean-Paul","Lloyd Alexander, Hayden Carruth","=""0811201880""","=""9780811201889""",1,3.94,New Directions,Hardcover,178,1969,1938,,2021/02/10,,,read,,,,1,0
10034,"The Age of Reason (Roads to Freedom, #1)",Jean-Paul Sartre,"Sartre, Jean-Paul",,"=""0679738959""","=""9780679738954""",1,3.98,Vintage International,Paperback,416,1992,1945,,2021/02/10,,,read,,,,1,0
427354,Venus in Furs,Leopold von Sacher-Masoch,"Sacher-Masoch, Leopold von","Joachim Neugroschel, Larry Wolff","=""0140447814""","=""9780140447811""",3,3.63,Penguin Classics,Paperback,160,2000,1870,,2021/02/10,,,read,,,,1,0
780889,The Sorrow Of War: A Novel of North Vietnam,Bảo Ninh,"Ninh, Bảo","Phan Thanh Hảo, Frank Palmos","=""1573225436""","=""9781573225434""",5,4.06,Riverhead Books/The Berkley Publishing Group/Penguin Putnam Inc.,Paperback,233,1996,1987,,2021/02/10,,,read,,,,1,0
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Harold S. Kushner, William J. Winslade, Isle Lasch","=""080701429X""","=""9780807014295""",4,4.37,Beacon Press,Paperback,165,2006,1959,,2021/02/10,,,read,,,,1,0
88432,Life and Fate,Vasily Grossman,"Grossman, Vasily",,"=""0099506165""","=""9780099506164""",5,4.44,Vintage Classics,Paperback,864,2006,1960,,2021/02/10,,,read,,,,1,0
12467,The Naked and the Dead,Norman Mailer,"Mailer, Norman",,"=""0312265050""","=""9780312265052""",5,3.94,Picador,Paperback,721,2000,1948,,2021/02/10,,,read,,,,1,0
1714864,Arrival and Departure,Arthur Koestler,"Koestler, Arthur",,"=""""","=""""",4,3.70,,Paperback,190,1976,1943,,2021/02/10,,,read,,,,1,0
