title,author,googleid,goodreads_id,start date,end date,read status,rating,pages
Maps of Meaning: The Architecture of Belief,Jordan B. Peterson,jp2Z5BW2AF8C,2218102,2022/01/05,,to-read,0,564.0
Humankind: A Hopeful History,Rutger Bregman,R7rEDwAAQBAJ,52879286,2022/01/12,,to-read,0,462.0
"How to Solve It: A New Aspect of Mathematical Method (Princeton Science Library, 34)",G. Pólya,X3xsgXjTGgoC,192221,2022/01/12,,to-read,0,288.0
Arrow in the Blue,Arthur Koestler,8iX4Xqs18XEC,196353,2022/03/28,,to-read,0,416.0
The God Delusion,Richard Dawkins,emE7DAAAQBAJ,14743,2022/03/28,,to-read,0,374.0
Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,s_aeCgAAQBAJ,24213,2022/03/28,,to-read,0,239.0
Wild Policy: Indigeneity and the Unruly Logics of Intervention (Anthropology of Policy),Tess Lea,epYTyAEACAAJ,52978240,2022/01/12,,to-read,0,
The Tin Drum,Günter Grass,6losDwAAQBAJ,35743,2022/01/14,,to-read,0,580.0
Straight and Crooked Thinking,Robert H. Thouless,XR-aswEACAAJ,11577463,2022/01/16,,to-read,0,174.0
Lord of the Flies,William Golding,VUO8AAAAIAAJ,7624,2022/03/19,,to-read,0,182.0
Wake in Fright,Kenneth Cook,n_c0DwAAQBAJ,1533656,2022/01/16,,to-read,0,174.0
Books That Made Us: The Companion to the ABC TV Series,Carl  Reinecke,XX8sEAAAQBAJ,59145276,2022/04/27,,to-read,0,368.0
Schindler's List,Thomas Keneally,Yfj1DwAAQBAJ,375013,2022/01/08,,to-read,0,429.0
Beyond Good and Evil,Friedrich Nietzsche,LHTKIY4Id1AC,12321,2022/05/04,,to-read,0,240.0
The Count of Monte Cristo,Alexandre Dumas,6pw6DAAAQBAJ,7126,2022/01/08,,to-read,0,1276.0
The Naked Lunch,William S. Burroughs,8r4cBAAAQBAJ,3925199,2022/01/05,,to-read,0,238.0
The Rebel,Albert Camus,MaToAQAAQBAJ,11990,2022/01/05,,to-read,0,320.0
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",Brian Greene,yZujlUD1oAAC,22435,2022/01/05,,to-read,0,569.0
The Story of Australia’s People Vol. I: The Rise and Fall of Ancient Australia,Geoffrey Blainey,sWqZBgAAQBAJ,25008108,2022/05/27,,to-read,0,398.0
Dream of Reason: A History of Western Philosophy from the Greeks to the Renaissance,Anthony Gottlieb,sTkpTFNHgvIC,26530383,2022/05/21,,to-read,0,512.0
Carl Jung - Dreams and Philosophy (Biography),Biographiq,9eBtNQAACAAJ,6346824,2022/01/05,,to-read,0,56.0
Dj-Culture,Ulf Poschardt,1w4wAQAAIAAJ,740472,2022/01/05,,to-read,0,480.0
A Room of One’s Own,Virginia Woolf,O1JODwAAQBAJ,18521,2022/01/05,,to-read,0,112.0
To Engineer Is Human: The Role of Failure in Successful Design,Henry Petroski,Ua1vDwAAQBAJ,271495,2022/01/05,,to-read,0,251.0
At Swim-Two-Birds,Flann O'Brien,ahpZEAAAQBAJ,97333,2022/05/18,,to-read,0,239.0
"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win",Gene Kim,H6x-DwAAQBAJ,17255186,2022/01/05,,to-read,0,345.0
The Road to Oxiana,Robert Byron,EcmZtQEACAAJ,860183,2022/06/05,,to-read,0,292.0
Doctor Faustus,Thomas Mann,cpmCEAAAQBAJ,34440,2022/05/10,,to-read,0,535.0
Why Read the Classics?,Italo Calvino,pQabBQAAQBAJ,9814,2022/05/10,,to-read,0,288.0
"Rabbit, Run (Rabbit Angstrom, #1)",John Updike,uTQ9PgAACAAJ,40656712,2022/01/06,,to-read,0,337.0
The Rise and Fall of Nations: Forces of Change in the Post-Crisis World,Ruchir Sharma,RzVUCwAAQBAJ,26530331,2022/05/10,,to-read,0,480.0
"The History of Sexuality, Volume 1: An Introduction",Michel Foucault,0Mbc5eMjLpoC,1875,2022/01/08,,to-read,0,176.0
Emotional Female,Yumiko Kadota,Rw9UEAAAQBAJ,56599072,2022/05/07,,to-read,0,400.0
The Last of the Just,André Schwarz-Bart,80FcPwAACAAJ,253292,2022/05/04,,to-read,0,374.0
Tortilla Flat,John Steinbeck,ef8EAQAAIAAJ,163977,2022/05/04,,to-read,0,256.0
The Goldfinch,Donna Tartt,T2CA83gbtM8C,17333223,2022/05/04,,to-read,0,864.0
